sample_id	file	total_mass	internal_scale	external_scale
Noggin-TXP_0	../DATA/BAM/run1205_lane12_read1_indexD708-D501=NogginTXP9.fastq/abundances.cxb	7.53819e+06	0.515952	1
Noggin-TXP_1	../DATA/BAM/run1205_lane12_read1_indexD708-D503=NogginTXP5.fastq/abundances.cxb	7.24345e+06	0.533909	1
Noggin-TXP_2	../DATA/BAM/run1205_lane12_read1_indexD708-D504=NogginTXP4.fastq/abundances.cxb	8.80921e+06	0.734919	1
BMP-TXP_0	../DATA/BAM/run1205_lane12_read1_indexD709-D502=5331BMPTXP.fastq/abundances.cxb	1.09616e+07	0.921635	1
BMP-TXP_1	../DATA/BAM/run1205_lane12_read1_indexD709-D503=5330BMPTXP.fastq/abundances.cxb	8.03019e+06	0.572558	1
BMP-TXP_2	../DATA/BAM/run1205_lane12_read1_indexD709-D507=4904BMPTXP.fastq/abundances.cxb	1.07879e+07	1.01758	1
adult-SI_0	../DATA/BAM/ERR315344_merged/abundances.cxb	9.04799e+06	0.925427	1
adult-SI_1	../DATA/BAM/ERR315381_merged/abundances.cxb	1.2498e+07	1.42691	1
adult-SI_2	../DATA/BAM/ERR315409_merged/abundances.cxb	1.02592e+07	1.11606	1
adult-SI_3	../DATA/BAM/ERR315442_merged/abundances.cxb	8.01418e+06	0.856579	1
adult-SI_4	../DATA/BAM/ERR315461_merged/abundances.cxb	9.63301e+06	1.01973	1
adult-colon_0	../DATA/BAM/ERR315348_merged/abundances.cxb	1.79385e+07	1.95443	1
adult-colon_1	../DATA/BAM/ERR315357_merged/abundances.cxb	4.91941e+07	5.57023	1
adult-colon_2	../DATA/BAM/ERR315484_merged/abundances.cxb	3.576e+07	4.04502	1
EGF-TXP_0	../DATA/BAM/run1209_lane912_read1_indexD706-D505=5631EGFTXP.fastq/abundances.cxb	1.7133e+07	1.28305	1
EGF-TXP_1	../DATA/BAM/run1209_lane912_read1_indexD706-D504=5632EGFTXP.fastq/abundances.cxb	8.633e+06	0.609057	1
EGF-TXP_2	../DATA/BAM/run1205_lane12_read1_indexD709-D501=5630EGFTXP.fastq/abundances.cxb	5.56235e+06	0.285719	1
