"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"A1BG","A1BG",104.774,89.903,141.486,184.455,51.1017,167.669,5.83718,4.48004,4.32233,7.00813,13.7292,12.1137,24.4155,12.7915,120.806,50.8984,255.496
"A1BG-AS1","A1BG-AS1",13.6069,14.9838,7.75265,17.3605,13.7581,12.2258,4.66974,7.16806,7.56408,9.81138,3.92262,5.43879,3.77004,8.18653,7.79393,6.56753,10.4998
"A1CF","A1CF",179.612,333.39,155.053,81.3771,163.132,137.977,1146.42,1140.62,1836.99,983.941,1380.76,804.941,172.524,1393.25,223.686,346.437,139.998
"A2M","A2M",3858.93,3599.87,5872.64,8031.38,4339.71,8493.46,6520.13,7658.17,5950.77,10050.4,5567.18,7162.64,22658.5,11024.7,3321.77,5754.8,4791.42
"A2M-AS1","A2M-AS1",53.0671,43.0785,32.9488,75.952,49.1362,57.6361,16.3441,8.96007,7.56408,24.5285,16.6711,19.5302,20.6455,9.7215,75.6011,37.7633,76.9987
"A2ML1","A2ML1",1.36069,0,0,0,2.94817,3.49309,0,1.79201,0,0,0,0.741653,0,0,2.33818,1.64188,0
"A2MP1","A2MP1",6.80347,0,0,1.08503,0.982724,0,0,0.896007,0,0,0,1.97774,1.07715,1.02332,0.779393,1.64188,0
"A3GALT2","A3GALT2",0,1.87298,0,5.42514,0,0,1.16744,0,0,0,0,0,0,0,2.33818,0,0
"A4GALT","A4GALT",83.0024,74.9192,265.528,277.767,122.841,265.475,98.0646,61.8245,32.4175,81.2943,54.9167,83.0651,210.584,42.4676,231.48,164.188,405.993
"A4GNT","A4GNT",1.36069,0,0,11.9353,0,1.74655,78.2182,1.79201,0,0,13.7292,0,0.897629,0,0,0,0
"AA06","AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS","AAAS",749.743,885.919,1034.98,872.363,607.323,791.186,298.863,216.834,313.369,297.145,320.674,205.438,195.683,214.896,948.521,852.137,1322.98
"AACS","AACS",508.9,367.104,443.839,563.13,546.395,579.854,724.977,269.698,290.677,301.35,316.752,345.363,264.8,584.825,466.077,627.199,507.492
"AACSP1","AACSP1",0,0,0,0,0,0,0,0.896007,0,0,0,0,0,0,0,1.64188,0
"AADAC","AADAC",1092.64,1101.31,395.385,107.418,387.193,57.6361,2256.65,2124.43,3482.72,2687.62,2710.53,0,0.359051,2.04663,961.771,1013.04,545.991
"AADACL2","AADACL2",0,0,0,0,0,0,0,7.16806,2.16116,2.80325,1.96131,0.98887,5.02672,1.53497,0,0,0
"AADACL2-AS1","AADACL2-AS1",0,0,0,0,0,3.49309,0,0,0,0,0,0,0,0,0,0,0
"AADACL3","AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4","AADACL4",0,0,0,2.17006,1.96545,0,0,3.58403,0,0,0,0,0,0.511658,0.779393,0,0
"AADACP1","AADACP1",19.0497,50.5704,27.1343,18.4455,26.5336,6.98619,156.436,59.1365,86.4466,99.5154,62.7619,22.2496,8.25818,31.2111,24.9406,31.1958,0
"AADAT","AADAT",99.3307,59.9353,65.8976,103.078,100.238,64.6222,33.8556,41.2163,8.64466,37.8439,16.6711,53.399,59.7821,51.1658,101.321,93.5874,125.998
"AAED1","AAED1",12.2463,18.7298,3.87633,27.1257,31.4472,22.7051,61.8741,77.0566,57.2709,47.6553,52.9554,44.0047,89.5833,52.7008,52.9987,55.824,76.9987
"AAGAB","AAGAB",382.355,359.612,358.56,404.716,460.898,405.199,412.105,462.34,318.772,339.894,343.229,669.218,604.284,663.109,236.935,395.694,150.498
"AAK1","AAK1",239.482,314.66,281.034,257.152,239.785,377.254,442.458,340.483,459.247,405.07,387.359,539.676,555.273,520.868,77.1599,126.425,118.998
"AAMDC","AAMDC",434.062,608.718,519.428,414.481,363.608,698.619,113.241,148.737,169.651,73.5854,82.375,67.7376,46.4972,81.8653,464.518,436.741,636.99
"AAMP","AAMP",1777.07,1717.52,1666.82,1835.87,1722.72,1563.16,891.921,784.006,920.656,848.685,997.326,922.369,787.579,693.297,2061.49,2026.08,2540.96
"AANAT","AANAT",4.08208,3.74596,0,0,1.96545,8.73274,0,0,0,0,0,1.97774,1.07715,0.511658,3.89696,1.64188,0
"AAR2","AAR2",729.332,758.556,943.886,792.071,588.652,695.126,330.384,334.211,273.387,313.263,373.629,282.817,291.909,237.409,922.022,906.32,1140.98
"AARD","AARD",10.8856,1.87298,15.5053,43.4011,14.7409,82.0877,0,8.06407,0,2.10244,3.92262,2.22496,8.97629,6.1399,30.3963,32.8377,13.9998
"AARS","AARS",1128.02,1093.82,1533.09,1236.93,1126.2,1306.42,959.632,707.846,967.121,754.776,924.758,802.221,999.599,894.89,1061.53,1349.63,1098.98
"AARS2","AARS2",240.843,361.485,455.468,303.808,361.642,303.899,239.324,258.946,406.299,238.276,285.371,221.013,213.456,178.057,254.082,295.539,304.495
"AARSD1,PTGES3L,PTGES3L-AARSD1","AARSD1,PTGES3L,PTGES3L-AARSD1",429.98,565.64,730.688,617.381,492.345,602.559,142.427,159.489,130.75,196.928,172.595,191.099,221.176,159.637,403.726,489.281,402.493
"AASDH","AASDH",65.3134,61.8083,44.5778,83.5472,101.221,103.046,171.613,158.593,152.362,158.384,129.446,127.07,129.618,134.054,42.8666,37.7633,45.4993
"AASDHPPT","AASDHPPT",93.8879,132.982,102.723,115.013,126.771,115.272,303.533,275.97,326.336,274.719,338.326,307.786,333.379,390.907,99.7623,87.0198,59.499
"AASS","AASS",145.594,170.441,104.661,142.139,116.944,106.539,136.59,178.305,290.677,229.867,131.408,161.928,187.784,200.058,76.3805,85.3779,52.4991
"AATBC","AATBC",0,0,3.87633,2.17006,0,3.49309,0,5.37604,8.64466,4.90569,0.980655,7.16931,34.1099,13.3031,0.779393,0,0
"AATF","AATF",512.982,631.194,765.575,441.607,617.151,487.287,316.375,365.571,374.962,344.8,342.249,342.396,387.955,260.434,504.267,612.423,489.992
"AATK","AATK",997.389,938.362,800.462,838.727,847.108,661.941,828.879,468.612,852.579,477.954,876.705,123.114,112.383,264.016,1695.96,930.948,1609.97
"AATK-AS1","AATK-AS1",2.72139,5.61894,5.81449,6.51017,3.9309,3.49309,0,0,1.08058,0,0,0,0,0,1.55879,1.64188,0
"ABAT","ABAT",453.111,488.848,288.786,249.557,546.395,298.66,1851.55,697.094,1681.39,485.663,1785.77,473.916,252.772,433.886,825.377,829.151,556.491
"ABCA1","ABCA1",23.1318,22.4757,32.9488,34.7209,34.3953,52.3964,317.542,320.771,595.401,637.74,546.225,752.778,1426.87,546.963,24.1612,32.8377,27.9995
"ABCA10,ABCA5","ABCA10,ABCA5",389.159,348.374,166.682,141.054,292.852,153.696,1015.67,858.375,1164.87,918.766,682.536,812.11,445.762,924.566,60.7926,67.3172,66.4989
"ABCA11P,ZNF721","ABCA11P,ZNF721",193.219,162.949,118.228,155.159,158.219,158.936,261.505,274.178,263.662,237.576,265.757,328.305,235.717,325.415,116.909,178.965,146.998
"ABCA12","ABCA12",0,0,0,1.08503,0.982724,1.74655,0,0,0,0,0,3.95548,152.238,251.736,0,3.28377,0
