GENE,BMP1,BMP2,BMP3,BMP4,NOG1,NOG2,NOG3,NOG4,EGF1,EGF2,EGF3,EGF4,Spheroid1,Spheroid2
5S_rRNA,57.69,56.9,81.34,96.52,129.55,67.09,100.73,72.4,69.7,169.27,53.97,53.4,38.09,33.7
6M1-18,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0
7SK,51.03,45.87,56.89,77.29,55.5,99.21,59.84,104.05,72.16,63.41,86.86,62.57,21.04,19.32
A1BG,5.95,8.89,8.42,8.75,7.21,10,6.83,7.94,7.15,5.5,6.74,6.03,7.09,6.39
A1BG-AS1,13.96,13.19,15.18,14.38,12.02,12.14,10.84,7.42,8.66,10.24,9.22,9.5,4.97,4.42
A1CF,0.02,0,0,0,0.04,0,0.02,0.05,0.52,0.39,0.18,0.29,0.03,0.01
A2M,7.05,5.87,5.13,6.46,20.52,25.01,24.01,18.92,19.07,28.67,23.74,22.64,5.06,6.19
A2M-AS1,2.72,0.89,1.45,1.91,1.83,1.55,1.89,2.4,2.39,2.69,1.88,1.55,0.44,0.75
A2ML1,0.45,1.13,0.48,0.82,0.63,0.44,0.71,1.16,0.62,0.77,1.1,0.75,0.31,0.13
A2MP1,0,0,0,0,0.16,0,0,0,0.16,0.12,0,0.12,0,0
A3GALT2,0.2,0,0.36,0,0.56,0.79,0,0.64,0.38,0.42,0.44,0.43,0,0
A4GALT,2.42,5.11,2.16,5.2,9.1,4.27,5.16,4.55,6.34,3.96,4.2,6.31,2.17,2.3
A4GNT,0,0,0,0,0.21,0.27,0.18,0,0.63,0.08,0.08,0.08,0.12,0.06
AAAS,94.24,108.99,103.43,115.35,117.46,125.36,108.79,103.77,104.86,102.27,108.06,111.18,89.25,90.98
AACS,34.28,28.96,36.42,35.21,32.47,36.5,31.04,32.2,35.38,32.55,33.59,35.2,35.83,34.59
AACSP1,0.14,0.09,0.08,0.18,0.08,0.22,0.59,0,0.17,0.06,0.46,0,0.07,0.05
AADAC,0.61,0.96,1,0.72,0,0,0,0,0,0,0.09,0,0,0
AADACL3,0.1,0,0.21,0,0.05,0,0,0,0,0,0.03,0.04,0,0
AADACL4,0,0,0,0,0.59,0.6,0.41,0.4,0,0.09,0,0,0.26,0.14
AADAT,13.23,9.54,9.53,11.13,21.63,17.3,21.04,21.35,24.28,28.58,25.19,21.02,14.95,13.43
AAED1,6.54,5.09,5.47,4.48,3.54,3.01,3.88,4.45,4.35,4.13,3.59,4.4,8.12,7.39
AAGAB,39.22,32.54,31.78,30.42,42.25,35.92,44.62,42.1,40.14,45.1,34.19,35.36,36.72,37.79
AAK1,4.86,4.42,5.13,4.51,2.45,2.11,2.68,2.13,2.86,2.93,2.9,2.32,2.85,3.35
AAMDC,122.06,123.71,127.87,135.26,60.31,52.16,57.31,50.74,51.27,50.71,48.34,52.08,28.12,30.98
AAMP,178.76,178.59,182.49,189.81,155.72,155.13,148.63,146.75,159.82,153.71,160.63,167.19,133.7,116.24
AANAT,0.31,0.64,0.41,0.77,0.65,1.45,0.93,0.73,1.08,1.69,1.26,0.5,0.1,0.73
AAR2,54.94,50.23,50.51,52.46,53.75,45.13,50.46,51.85,51.19,48.92,45.81,46.86,28.68,30.9
AARD,2.2,0.86,0.95,1.32,0.44,0.56,0.51,0,0.58,0.48,0.5,0.37,0.91,0.55
AARS,85.1,85.92,89.6,96.24,90.91,86.63,75.63,79.8,82.32,83.46,82.21,84.15,128.48,120.89
AARS2,27.46,31.84,28.07,33.94,32.06,38.08,34.83,33.88,36.75,34.41,38.36,35.13,21.14,21.03
AARSD1,65.55,73.28,66.3,83.5,75.63,76.56,81.63,66.33,72.17,67.49,70.13,77.52,40.36,42.84
AASDH,5.2,5.16,4.74,3.68,3.96,3.44,6.28,4.95,7.75,7.72,5.24,5.62,11.4,10.4
AASDHPPT,25.26,20.23,17.1,14.21,13.98,7.83,14.92,14.68,18.67,24.49,17,16.27,29.11,27.63
AASS,17.07,16.99,14.18,15.16,21.13,21.28,22.13,21.78,33.08,35.71,29.49,22.84,25.04,24.43
AATF,53.54,59.23,50.63,54.98,61.43,52.94,54.01,50.27,62.67,63.68,66.11,63.44,61.24,58.97
AATK,2.07,2.48,2.48,2.02,5.69,7.74,4.21,4.67,8.54,7.19,7.71,5.86,2.49,2.82
AATK-AS1,0,0.26,0.11,0.75,3.94,3.28,2.42,2.48,2.84,2.01,2.25,1.58,0.2,0.08
AB000466,5.07,5.13,5.56,5.42,5.17,5.76,3.38,3.62,3.99,3.97,4.87,5.14,3.48,2.87
AB007962,0.3,0.44,0.25,0.24,0.77,0.14,0.5,0.69,0.43,0.38,0.24,0.35,0.29,0.35
AB059369,0,0,0,0,0,0,0,0,0,0,2.81,0,2.01,0
AB062081,9.92,13.73,12.66,8.07,18.43,14.87,17.21,11.38,9.97,13.07,16.24,12.09,3.38,3.58
AB062083,109.78,149.75,84.57,119.75,123.29,130.32,142.89,120.78,127.3,90.01,160.85,139.49,36.55,37.88
AB073649,0,0.07,0.06,0,0.19,0.17,0.17,0,0.26,0,0.17,0,0.32,0.31
AB074160,0.8,0.71,0.55,0.52,0.08,0,0,0.04,0,0,0,0,0,0
AB074162,0.2,0.19,0,0,0.09,0.08,0.08,0,0,0.06,0.13,0.07,0.05,0
AB074166,0,0,0.09,0.1,0.15,0.23,0.03,0,0.27,0.04,0.09,0,0.15,0.11
AB074188,2.7,2.63,2.7,1.28,0.09,0.07,0.38,0.3,0.18,0.26,0.14,0.27,0.1,0.16
AB075489,0.7,0.37,0,0.57,1.14,1.91,1.38,1.23,1.33,0.74,0.74,0.76,0.57,0.57
AB075492,0.5,1.24,0.89,1.04,1.13,1.22,1.23,0.91,1.84,1.38,1.13,0.71,1.01,0.57
AB209061,16.1,14.92,16.52,21.42,19.02,24.44,15.73,18.2,23.57,19.49,21.89,21.69,8.73,9.03
AB209185,3.43,4,3.63,3.93,3.08,3.72,3.39,2.82,5,5.1,5.55,3.44,4.47,4.31
AB209315,10.18,7.6,4.33,5.07,4.78,7.23,9.03,6.62,9.32,7.27,4.52,5.9,0.48,1.23
AB209621,0.9,1.21,0.93,1.32,1.46,1.79,2.17,1.73,1.45,1.18,1.48,1.38,0.3,0.43
AB231702,0.94,0.46,0,0.46,0.22,0.19,0.38,0,0.22,0.33,0.17,0.68,0.12,0
AB231703,0,0,0,0,0,0,0,0,0,0,1.93,0.96,0,0.75
AB231710,0,0,0.43,0,0.09,0,3.19,0,0,4.84,7.47,0,0,0
AB231711,0,6.27,0,12.43,0,0,0,0,0,0,0,0,0,0
AB231721,2.85,0,3.87,0,0,0,4.67,3.43,6.77,3,1.04,0,0,4.07
AB231742,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0
AB231779,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0
AB231784,0,1.97,0,0,0,0,0,0,0,0,0,1.47,0,0
AB240015,0,0.35,0,0,0,0,0,0,0,0,0,0.27,0,0
AB372727,0,0,0,0,0,0,0,0,8.93,0,6.89,0,4.92,0
AB429224,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0
AB488780,11.7,11.12,10.54,12.3,19.46,13.51,12.6,12.88,15.99,17.26,10.94,15.33,4.81,6.59
AB586698,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0
ABAT,6.3,6.2,5.84,5.33,10.69,8.9,9.92,10.97,6.87,8.41,7.63,6.56,2.58,2.36
ABCA1,3.7,2.79,3.84,2.64,2.46,2.16,2.5,2.82,5.05,5.61,7.65,3.57,1.81,1.78
ABCA10,0.5,0.99,0.64,1.09,0.75,0.81,1.29,0.89,1,0.92,0.8,0.46,0.38,0.39
ABCA11P,13.95,12.88,13.47,13.34,18.52,13.8,17.33,17.68,20.3,18.46,19.87,16.3,7.94,9.91
ABCA12,0.09,0.07,0.08,0.02,0.15,0.08,0.12,0.06,0.04,0.05,0.05,0.05,0.04,0.07
ABCA13,0.24,0.4,0.28,0.42,0.52,0.68,0.42,0.52,0.5,0.4,0.97,0.41,0.16,0.12
ABCA17P,0.14,0.04,0.2,0,0.63,0.22,0.37,0.37,0.17,0.35,0.33,0.2,0.05,0.1
ABCA2,20.45,22.6,21.96,30.3,25.97,27.55,21.4,20.95,30.08,24.51,30.94,29.13,22.75,23.07
ABCA3,2.24,1.96,1.71,2.08,6.72,7.74,6.77,7.63,3.33,2.78,2.86,2.46,1.04,0.82
ABCA4,7.83,10.26,8.98,8.1,0.7,0.42,0.9,0.65,1.01,1.27,1.06,0.89,1.55,1.72
ABCA5,0.37,0.33,0.33,0.23,0.42,0.44,0.6,0.64,0.42,0.6,0.24,0.22,0.56,0.34
ABCA6,0.04,0,0,0.04,0.51,0.09,0.21,0.26,0,0,0,0,0,0
ABCA7,25.57,32.74,28.35,32.46,26.96,40.46,24.98,28.59,28.52,22.75,27.17,26.73,10.92,7.61
