"","category","gene"
"shared.nog.si1","shared.nog.si","ABCA4"
"shared.nog.si2","shared.nog.si","ABCC2"
"shared.nog.si3","shared.nog.si","ABCC6"
"shared.nog.si4","shared.nog.si","ABCD1"
"shared.nog.si5","shared.nog.si","ABCG8"
"shared.nog.si6","shared.nog.si","ABHD14A,ABHD14A-ACY1,ACY1"
"shared.nog.si7","shared.nog.si","ABHD6"
"shared.nog.si8","shared.nog.si","ACBD4"
"shared.nog.si9","shared.nog.si","ACO2"
"shared.nog.si10","shared.nog.si","ACOT11"
"shared.nog.si11","shared.nog.si","ACP2"
"shared.nog.si12","shared.nog.si","ACSL5"
"shared.nog.si13","shared.nog.si","ACY3"
"shared.nog.si14","shared.nog.si","ADAMTSL5"
"shared.nog.si15","shared.nog.si","AGPAT3"
"shared.nog.si16","shared.nog.si","AKR1B10"
"shared.nog.si17","shared.nog.si","AKR1C1"
"shared.nog.si18","shared.nog.si","AKR1C3"
"shared.nog.si19","shared.nog.si","ALDOB"
"shared.nog.si20","shared.nog.si","ALPI"
"shared.nog.si21","shared.nog.si","ANGPTL4"
"shared.nog.si22","shared.nog.si","ANXA13"
"shared.nog.si23","shared.nog.si","APOA1"
"shared.nog.si24","shared.nog.si","APOA1-AS"
"shared.nog.si25","shared.nog.si","APOA4"
"shared.nog.si26","shared.nog.si","APOBEC1"
"shared.nog.si27","shared.nog.si","APOBEC2"
"shared.nog.si28","shared.nog.si","APOC2,APOC4,APOC4-APOC2"
"shared.nog.si29","shared.nog.si","APOC3"
"shared.nog.si30","shared.nog.si","APOL2"
"shared.nog.si31","shared.nog.si","AQP3"
"shared.nog.si32","shared.nog.si","AQP7"
"shared.nog.si33","shared.nog.si","AQP7P1"
"shared.nog.si34","shared.nog.si","ATG4D"
"shared.nog.si35","shared.nog.si","AVIL"
"shared.nog.si36","shared.nog.si","BAK1"
"shared.nog.si37","shared.nog.si","BCRP3"
"shared.nog.si38","shared.nog.si","BRE-AS1,RBKS"
"shared.nog.si39","shared.nog.si","BTD"
"shared.nog.si40","shared.nog.si","BTNL3"
"shared.nog.si41","shared.nog.si","BTNL8"
"shared.nog.si42","shared.nog.si","C10orf25"
"shared.nog.si43","shared.nog.si","C10orf67"
"shared.nog.si44","shared.nog.si","C11orf24"
"shared.nog.si45","shared.nog.si","C11orf86"
"shared.nog.si46","shared.nog.si","C19orf66"
"shared.nog.si47","shared.nog.si","C1orf115"
